,formula,element1,element2
0,AcF3,Ac,F
1,AcCl3,Ac,Cl
2,AcBr3,Ac,Br
3,AcI3,Ac,I
4,Ac2O3,Ac,O
5,Ac2S3,Ac,S
6,AcB2,Ac,B
7,HAt,H,At
8,At2O7,At,O
9,AtBr,At,Br
10,AtI,At,I
11,NaAt,Na,At
12,MgAt2,Mg,At
13,CAt4,C,At
14,AgAt,Ag,At
15,Es2O3,Es,O
16,EsF3,Es,F
17,EsCl2,Es,Cl
18,EsCl3,Es,Cl
19,EsBr2,Es,Br
20,EsBr3,Es,Br
21,EsI2,Es,I
22,EsI3,Es,I
23,NH3,N,H
24,NH4N3,N,H
25,N2H5N3,N,H
26,PdH,Pd,H
27,PdSi,Pd,Si
28,Pd2Si,Pd,Si
29,Pd3Si,Pd,Si
30,PdGe,Pd,Ge
31,Pd5Ge2,Pd,Ge
32,Pd2Ge,Pd,Ge
33,Pd4Ge,Pd,Ge
34,Pd3Sn,Pd,Sn
35,Pd3Sn2,Pd,Sn
36,PdSn,Pd,Sn
37,PdPb,Pd,Pb
38,PdPb2,Pd,Pb
39,Pd3Pb,Pd,Pb
40,PdCl2,Pd,Cl
41,Pd3B,Pd,B
42,Pd5B2,Pd,B
43,PdAl,Pd,Al
44,PdAl2,Pd,Al
45,PdAl3,Pd,Al
46,Pd2Al3,Pd,Al
47,PdGa,Pd,Ga
48,Pd2Ga,Pd,Ga
49,Pd3Ga,Pd,Ga
50,PdIn,Pd,In
51,PdIn3,Pd,In
52,Pd2In,Pd,In
53,Pd3In,Pd,In
54,Pd2Tl,Pd,Tl
55,PdCu,Pd,Cu
56,PdCu3,Pd,Cu
57,PdBe,Pd,Be
58,PdBe5,Pd,Be
59,Pd2Be,Pd,Be
60,Pd3Be,Pd,Be
61,Pd2Zn,Pd,Zn
62,Pd5Zn21,Pd,Zn
63,Pd5Cd21,Pd,Cd
64,PdHg,Pd,Hg
65,Pd2Hg,Pd,Hg
66,Pd4Hg3,Pd,Hg
67,PdTi2,Pd,Ti
68,PdTi,Pd,Ti
69,Pd3Ti,Pd,Ti
70,Pd3Ti2,Pd,Ti
71,Pd3Zr,Pd,Zr
72,Pd2V,Pd,V
73,Pd3V,Pd,V
74,PdV3,Pd,V
75,Pd2Nb,Pd,Nb
76,Pd3Nb,Pd,Nb
77,Pd2Nb3,Pd,Nb
78,PdCr,Pd,Cr
79,Pd2Cr3,Pd,Cr
80,PdMn,Pd,Mn
81,Pd3Mn2,Pd,Mn
82,PdFe,Pd,Fe
83,PdFe3,Pd,Fe
84,Pd3Fe,Pd,Fe
85,PdCu,Pd,Cu
86,PdCu3,Pd,Cu
87,PdO,Pd,O
88,PdBr2,Pd,Br
89,PdF2,Pd,F
90,PdI2,Pd,I
91,Pd2H,Pd,H
92,PdS,Pd,S
93,PdSe,Pd,Se
94,PdSe2,Pd,Se
95,PdTe,Pd,Te
96,PdTe2,Pd,Te
97,Pd3P,Pd,P
98,Pd5P,Pd,P
99,PdP2,Pd,P
100,Pd2As,Pd,As
101,Pd3As,Pd,As
102,PdAs2,Pd,As
103,PdSb,Pd,Sb
104,PdSb2,Pd,Sb
105,Pd3Sb,Pd,Sb
106,PdBi,Pd,Bi
107,PdBi2,Pd,Bi
108,Pd5Bi3,Pd,Bi
109,BaTe,Ba,Te
110,BaPo,Ba,Po
111,Ba3N2,Ba,N
112,BaN2,Ba,N
113,BaP2,Ba,P
114,BaP3,Ba,P
115,Ba3As2,Ba,As
116,Ba3Sb2,Ba,Sb
117,Ba3Bi2,Ba,Bi
118,BaBi3,Ba,Bi
119,BaSi,Ba,Si
120,BaSi2,Ba,Si
121,BaGe,Ba,Ge
122,BaPb,Ba,Pb
123,BaB6,Ba,B
124,BaAl2,Ba,Al
125,BaAl4,Ba,Al
126,BaGa4,Ba,Ga
127,BaTl,Ba,Tl
128,BaTl2,Ba,Tl
129,BaZn13,Ba,Zn
130,BaZn,Ba,Zn
131,BaCd,Ba,Cd
132,BaHg,Ba,Hg
133,BaI2,Ba,I
134,BaH2,Ba,H
135,BaF2,Ba,F
136,BaS,Ba,S
137,BaS3,Ba,S
138,BaCl2,Ba,Cl
139,Ba(N3)2,Ba,N
140,BaSe,Ba,Se
141,BaBr2,Ba,Br
142,BaO,Ba,O
143,BaO2,Ba,O
144,BaC2,Ba,C
145,Bi2Te3,Bi,Te
146,BiI3,Bi,I
147,BiF3,Bi,F
148,BiF5,Bi,F
149,Bi2S3,Bi,S
150,BiS,Bi,S
151,BiCl,Bi,Cl
152,BiCl2,Bi,Cl
153,BiCl3,Bi,Cl
154,BiH3,Bi,H
155,BiSe,Bi,Se
156,Bi2Se,Bi,Se
157,Bi2Se3,Bi,Se
158,BiBr3,Bi,Br
159,Bi2O3,Bi,O
160,Bi2O5,Bi,O
161,PtBe5,Pt,Be
162,Pt3Cr,Pt,Cr
163,PtCr2,Pt,Cr
164,PtCr3,Pt,Cr
165,PtMo,Pt,Mo
166,PtMo2,Pt,Mo
167,PtMo6,Pt,Mo
168,PtMn,Pt,Mn
169,Pt3Mn,Pt,Mn
170,PtMn3,Pt,Mn
171,PtFe,Pt,Fe
172,Pt3Fe,Pt,Fe
173,PtFe3,Pt,Fe
174,PtCo,Pt,Co
175,Pt3Co,Pt,Co
176,PtNi,Pt,Ni
177,PtNi3,Pt,Ni
178,Pt3Pa,Pt,Pa
179,Pt5Pa,Pt,Pa
180,PtPo2,Pt,Po
181,PtI2,Pt,I
182,PtI4,Pt,I
183,PtB,Pt,B
184,PtF4,Pt,F
185,PtF5,Pt,F
186,PtF6,Pt,F
187,PtF7,Pt,F
188,PtAs2,Pt,As
189,PtSb,Pt,Sb
190,PtSb2,Pt,Sb
191,Pt5Sb2,Pt,Sb
192,PtBi,Pt,Bi
193,PtBi2,Pt,Bi
194,PtBi3,Pt,Bi
195,PtSi,Pt,Si
196,Pt2Si,Pt,Si
197,Pt5Si2,Pt,Si
198,PtGe,Pt,Ge
199,PtGe2,Pt,Ge
200,Pt2Ge,Pt,Ge
201,Pt3Ge,Pt,Ge
202,PtSn,Pt,Sn
203,PtSn4,Pt,Sn
204,Pt3Sn,Pt,Sn
205,PtPb,Pt,Pb
206,Pt3Pb,Pt,Pb
207,PtPb4,Pt,Pb
208,PtB,Pt,B
209,Pt2B,Pt,B
210,Pt3B2,Pt,B
211,PtAl,Pt,Al
212,PtAl2,Pt,Al
213,PtAl3,Pt,Al
214,Pt3Al,Pt,Al
215,PtGa,Pt,Ga
216,PtGa2,Pt,Ga
217,PtGa6,Pt,Ga
218,PtIn2,Pt,In
219,Pt3In,Pt,In
220,Pt2In3,Pt,In
221,PtTl,Pt,Tl
222,Pt15Be,Pt,Be
223,PtBe12,Pt,Be
224,Pt5Be21,Pt,Be
225,PtBe5,Pt,Be
226,PtMg2,Pt,Mg
227,PtCu,Pt,Cu
228,PtCu3,Pt,Cu
229,Pt3Cu,Pt,Cu
230,Pt9Cu,Pt,Cu
231,PtAg,Pt,Ag
232,Pt3Ag,Pt,Ag
233,PtAg3,Pt,Ag
234,PtAu3,Pt,Au
235,PtZn,Pt,Zn
236,PtZn2,Pt,Zn
237,Pt2Zn3,Pt,Zn
238,Pt5Zn21,Pt,Zn
239,PtCd,Pt,Cd
240,PtCd2,Pt,Cd
241,Pt5Cd21,Pt,Cd
242,PtHg,Pt,Hg
243,PtHg2,Pt,Hg
244,PtHg4,Pt,Hg
245,Pt2Hg,Pt,Hg
246,Pt3Hg,Pt,Hg
247,Pt2Ce,Pt,Ce
248,PtTi,Pt,Ti
249,Pt3Ti,Pt,Ti
250,PtTi3,Pt,Ti
251,PtZr,Pt,Zr
252,PtZr2,Pt,Zr
253,Pt3Zr,Pt,Zr
254,PtS,Pt,S
255,PtS2,Pt,S
256,Pt2S3,Pt,S
257,PtSe,Pt,Se
258,PtSe2,Pt,Se
259,PtTe,Pt,Te
260,PtTe2,Pt,Te
261,PtCl,Pt,Cl
262,PtCl2,Pt,Cl
263,PtCl3,Pt,Cl
264,PtCl4,Pt,Cl
265,PtO,Pt,O
266,PtO2,Pt,O
267,PtBr2,Pt,Br
268,PtBr4,Pt,Br
269,PtP2,Pt,P
270,Pt2P,Pt,P
271,Pt3P5,Pt,P
272,Pt2Ge,Pt,Ge
273,Pt3Ge,Pt,Ge
274,Pt2Ge3,Pt,Ge
275,PuB,Pu,B
276,PuB2,Pu,B
277,PuB4,Pu,B
278,PuNi,Pu,Ni
279,PuNi2,Pu,Ni
280,PuNi3,Pu,Ni
281,PuNi4,Pu,Ni
282,Pu5Os3,Pu,Os
283,PuOs2,Pu,Os
284,PuPt5,Pu,Pt
285,PuPt4,Pu,Pt
286,PuPt3,Pu,Pt
287,PuPt2,Pu,Pt
288,PuRh2,Pu,Rh
289,PuRu2,Pu,Ru
290,Pu3U,Pu,U
291,PuP,Pu,P
292,PuN,Pu,N
293,PuBe13,Pu,Be
294,PuF3,Pu,F
295,PuF4,Pu,F
296,PuF6,Pu,F
297,PuS,Pu,S
298,Pu2S3,Pu,S
299,PuSe,Pu,Se
300,PuSe2,Pu,Se
301,Pu2Se3,Pu,Se
302,PuTe,Pu,Te
303,PuN,Pu,N
304,PuAs,Pu,As
305,PuSb,Pu,Sb
306,PuBi,Pu,Bi
307,PuBi3,Pu,Bi
308,PuC,Pu,C
309,PuC2,Pu,C
310,Pu2C3,Pu,C
311,PuSi,Pu,Si
312,PuSi2,Pu,Si
313,Pu3Si2,Pu,Si
314,PuGe2,Pu,Ge
315,PuGe3,Pu,Ge
316,PuSn3,Pu,Sn
317,PuPb3,Pu,Pb
318,PuB2,Pu,B
319,PuB4,Pu,B
320,PuB6,Pu,B
321,PuAl,Pu,Al
322,Pu3Al,Pu,Al
323,PuAl2,Pu,Al
324,PuAl3,Pu,Al
325,PuAl4,Pu,Al
326,PuGa,Pu,Ga
327,Pu3Ga,Pu,Ga
328,Pu3In,Pu,In
329,PuIn3,Pu,In
330,Pu3Tl,Pu,Tl
331,PuTl3,Pu,Tl
332,PuBe13,Pu,Be
333,PuMg,Pu,Mg
334,PuMg2,Pu,Mg
335,PuCu2,Pu,Cu
336,PuCu4,Pu,Cu
337,PuCu6,Pu,Cu
338,PuAg3,Pu,Ag
339,PuHg3,Pu,Hg
340,PuHg4,Pu,Hg
341,PuCd2,Pu,Cd
342,PuCd4,Pu,Cd
343,PuCd6,Pu,Cd
344,Pu2Th,Pu,Th
345,Pu6Zr,Pu,Zr
346,PuZr2,Pu,Zr
347,PuMn2,Pu,Mn
348,PuFe2,Pu,Fe
349,Pu6Fe,Pu,Fe
350,PuP,Pu,P
351,PuCl3,Pu,Cl
352,PuI3,Pu,I
353,PuH2,Pu,H
354,PuH3,Pu,H
355,PuBr3,Pu,Br
356,PuBr4,Pu,Br
357,PuO,Pu,O
358,Pu2O3,Pu,O
359,PuO2,Pu,O
360,NF3,N,F
361,Cl3N,Cl,N
362,Br3N,Br,N
363,I3N,I,N
364,N4S4,N,S
365,N2O,N,O
366,NO,N,O
367,N2O3,N,O
368,NO2,N,O
369,N2O4,N,O
370,N2O5,N,O
371,TcH,Tc,H
372,TcF5,Tc,F
373,TcF6,Tc,F
374,Tc3B,Tc,B
375,Tc7B3,Tc,B
376,TcCl4,Tc,Cl
377,TcCl6,Tc,Cl
378,TcBr4,Tc,Br
379,TcO2,Tc,O
380,Tc2O7,Tc,O
381,TcS2,Tc,S
382,Tc2S7,Tc,S
383,TcSe2,Tc,Se
384,TcTe2,Tc,Te
385,TcN,Tc,N
386,Tc3P,Tc,P
387,TcP4,Tc,P
388,Tc3As7,Tc,As
389,TcC,Tc,C
390,TcSi,Tc,Si
391,TcSi2,Tc,Si
392,Tc4Si,Tc,Si
393,Tc5Si3,Tc,Si
394,TcB2,Tc,B
395,Tc3B,Tc,B
396,Tc7B3,Tc,B
397,TcAl4,Tc,Al
398,Tc2Al3,Tc,Al
399,TcAl12,Tc,Al
400,TcZn6,Tc,Zn
401,Tc11Zn2,Tc,Zn
402,DyH2,Dy,H
403,DyH3,Dy,H
404,DyTc2,Dy,Tc
405,Dy3Se4,Dy,Se
406,DyAl2,Dy,Al
407,DyTl,Dy,Tl
408,Dy2Tl,Dy,Tl
409,DyGe,Dy,Ge
410,Dy5Ge3,Dy,Ge
411,Dy2Po3,Dy,Po
412,DySi,Dy,Si
413,Dy2Te3,Dy,Te
414,Dy2S3,Dy,S
415,DyB4,Dy,B
416,DyB6,Dy,B
417,Dy2O3,Dy,O
418,DyBi,Dy,Bi
419,DySb,Dy,Sb
420,DyAs,Dy,As
421,DyN,Dy,N
422,DyP,Dy,P
423,DyC2,Dy,C
424,Dy2C3,Dy,C
425,DyBe13,Dy,Be
426,DyF3,Dy,F
427,DyCl3,Dy,Cl
428,DyBr3,Dy,Br
429,DyI3,Dy,I
430,Dy2O3,Dy,O
431,Te3N4,Te,N
432,TeI2,Te,I
433,TeI4,Te,I
434,TeF4,Te,F
435,TeF6,Te,F
436,TeCl2,Te,Cl
437,TeCl4,Te,Cl
438,TeO2,Te,O
439,TeO3,Te,O
440,TeBr4,Te,Br
441,TeS2,Te,S
442,TeBr2,Te,Br
443,TeBr4,Te,Br
444,IN3,I,N
445,ICl,I,Cl
446,IF7,I,F
447,ICl3,I,Cl
448,IF5,I,F
449,I2O5,I,O
450,I4O9,I,O
451,IBr,I,Br
452,TmH2,Tm,H
453,TmH3,Tm,H
454,TmB4,Tm,B
455,TmB6,Tm,B
456,TmBr3,Tm,Br
457,TmTc2,Tm,Tc
458,TmTl,Tm,Tl
459,Tm2Tl,Tm,Tl
460,TmTl3,Tm,Tl
461,Tm3Se4,Tm,Se
462,TmIn,Tm,In
463,TmIn3,Tm,In
464,TmGe,Tm,Ge
465,Tm5Ge3,Tm,Ge
466,Tm2Po3,Tm,Po
467,TmSi,Tm,Si
468,TmI3,Tm,I
469,Tm2O3,Tm,O
470,Tm2S3,Tm,S
471,TmBi,Tm,Bi
472,TmSb,Tm,Sb
473,TmAs,Tm,As
474,TmN,Tm,N
475,TmP,Tm,P
476,TmC2,Tm,C
477,Tm2C3,Tm,C
478,TmBe13,Tm,Be
479,TmF3,Tm,F
480,TmCl3,Tm,Cl
481,Tm2O3,Tm,O
482,RnF2,Rn,F
483,OsF4,Os,F
484,OsF6,Os,F
485,OsF8,Os,F
486,OsB2,Os,B
487,Os2B5,Os,B
488,OsCl3,Os,Cl
489,OsCl4,Os,Cl
490,OsBr3,Os,Br
491,OsBr4,Os,Br
492,OsI4,Os,I
493,OsO2,Os,O
494,OsO4,Os,O
495,OsS2,Os,S
496,OsSe2,Os,Se
497,OsTe2,Os,Te
498,OsP2,Os,P
499,OsAs2,Os,As
500,OsSb2,Os,Sb
501,OsC,Os,C
502,OsSi,Os,Si
503,OsSi2,Os,Si
504,Os2Si3,Os,Si
505,OsGe2,Os,Ge
506,Os2Ge3,Os,Ge
507,OsB2,Os,B
508,Os2B5,Os,B
509,OsAl,Os,Al
510,Os2Al,Os,Al
511,OsAl2,Os,Al
512,OsAl3,Os,Al
513,Os2Al3,Os,Al
514,OsGa3,Os,Ga
515,Os2Be17,Os,Be
516,Os3Be17,Os,Be
517,OsBe5,Os,Be
518,Os2Sc,Os,Sc
519,OsSc3,Os,Sc
520,Os2Y,Os,Y
521,OsY3,Os,Y
522,Os2La,Os,La
523,Os2Ce,Os,Ce
524,Os2Pr,Os,Pr
525,Os2Nd,Os,Nd
526,Os2Gd,Os,Gd
527,Os2Lu,Os,Lu
528,Os2Yb,Os,Yb
529,Os2Sm,Os,Sm
530,Os2Eu,Os,Eu
531,Os2Tb,Os,Tb
532,Os2Dy,Os,Dy
533,Os2Ho,Os,Ho
534,Os2Er,Os,Er
535,Os2Tm,Os,Tm
536,Os2Th,Os,Th
537,Os2Th3,Os,Th
538,Os3Th7,Os,Th
539,Os2U,Os,U
540,OsU2,Os,U
541,OsU3,Os,U
542,Os4U5,Os,U
543,OsTi,Os,Ti
544,OsZr,Os,Zr
545,Os2Zr,Os,Zr
546,Os4Zr11,Os,Zr
547,OsHf,Os,Hf
548,Os2Hf,Os,Hf
549,OsV,Os,V
550,OsNb,Os,Nb
551,OsNb3,Os,Nb
552,Os2Nb3,Os,Nb
553,OsTa,Os,Ta
554,OsTa3,Os,Ta
555,OsCr2,Os,Cr
556,OsCr3,Os,Cr
557,OsMo2,Os,Mo
558,OsMo3,Os,Mo
559,OsW2,Os,W
560,ErH2,Er,H
561,ErH3,Er,H
562,ErTc2,Er,Tc
563,ErAl2,Er,Al
564,Er2Se3,Er,Se
565,Er3Se4,Er,Se
566,Er2Po3,Er,Po
567,ErTl,Er,Tl
568,Er2Tl,Er,Tl
569,ErGe,Er,Ge
570,Er5Ge3,Er,Ge
571,ErSi,Er,Si
572,ErB4,Er,B
573,ErB6,Er,B
574,ErBr3,Er,Br
575,Er2O3,Er,O
576,Er2S3,Er,S
577,ErBi,Er,Bi
578,ErSb,Er,Sb
579,ErAs,Er,As
580,ErN,Er,N
581,ErP,Er,P
582,ErC2,Er,C
583,Er2C3,Er,C
584,ErBe13,Er,Be
585,ErF3,Er,F
586,ErCl3,Er,Cl
587,ErI3,Er,I
588,Er2O3,Er,O
589,VBe2,V,Be
590,VTc,V,Tc
591,V3Tc,V,Tc
592,VPt,V,Pt
593,VPt2,V,Pt
594,VPt3,V,Pt
595,V3Pt,V,Pt
596,V3Rh,V,Rh
597,VZn3,V,Zn
598,V4Zn5,V,Zn
599,V3Cd,V,Cd
600,VB,V,B
601,V2Zr,V,Zr
602,V3As,V,As
603,V2As,V,As
604,VAs,V,As
605,VC,V,C
606,V2C,V,C
607,VSi2,V,Si
608,V3Si,V,Si
609,V3Ge,V,Ge
610,VGe2,V,Ge
611,V11Ge8,V,Ge
612,V3Pb,V,Pb
613,VB,V,B
614,VB2,V,B
615,VAl3,V,Al
616,VAl10,V,Al
617,VAl11,V,Al
618,V3Ga,V,Ga
619,V6Ga5,V,Ga
620,V6Ga7,V,Ga
621,V3Tl,V,Tl
622,VBe2,V,Be
623,VBe12,V,Be
624,VN,V,N
625,V2N,V,N
626,VH,V,H
627,VH2,V,H
628,VP,V,P
629,VF3,V,F
630,VF4,V,F
631,VF5,V,F
632,VS,V,S
633,V2S3,V,S
634,V2S5,V,S
635,VS4,V,S
636,VSe,V,Se
637,VSe2,V,Se
638,V2Se3,V,Se
639,V3Se4,V,Se
640,V5Se4,V,Se
641,VTe,V,Te
642,V3Te4,V,Te
643,V5Te4,V,Te
644,VN,V,N
645,V2N,V,N
646,VP,V,P
647,VP2,V,P
648,V2P,V,P
649,V3P,V,P
650,VCl2,V,Cl
651,VCl3,V,Cl
652,VCl4,V,Cl
653,VC,V,C
654,VBr2,V,Br
655,VBr3,V,Br
656,VI2,V,I
657,VI3,V,I
658,VO,V,O
659,V2O3,V,O
660,VO2,V,O
661,V2O5,V,O
662,V2O5,V,O
663,V3O7,V,O
664,V4O9,V,O
665,VAs,V,As
666,V2As,V,As
667,VSb,V,Sb
668,VSb2,V,Sb
669,V2Sb,V,Sb
670,V3Sb,V,Sb
671,V3Bi,V,Bi
672,VB2,V,B
673,FrF,Fr,F
674,FrCl,Fr,Cl
675,FrBr,Fr,Br
676,FrI,Fr,I
677,Fm2O3,Fm,O
678,FmCl3,Fm,Cl
679,FmF3,Fm,F
680,FN3/N3F,N,F
681,GdH2,Gd,H
682,GdH3,Gd,H
683,GdTc2,Gd,Tc
684,GdSe,Gd,Se
685,Gd2Se3,Gd,Se
686,Gd2Te3,Gd,Te
687,GdTe,Gd,Te
688,Gd2Po3,Gd,Po
689,GdAl2,Gd,Al
690,GdTl,Gd,Tl
691,Gd2Tl,Gd,Tl
692,GdSi,Gd,Si
693,GdGe,Gd,Ge
694,Gd5Ge3,Gd,Ge
695,GdB4,Gd,B
696,GdB6,Gd,B
697,GdBr3,Gd,Br
698,GdS,Gd,S
699,Gd2S3,Gd,S
700,GdI3,Gd,I
701,GdBi,Gd,Bi
702,GdSb,Gd,Sb
703,GdAs,Gd,As
704,GdC2,Gd,C
705,Gd2C3,Gd,C
706,GdN,Gd,N
707,GdP,Gd,P
708,GdBe13,Gd,Be
709,GdF3,Gd,F
710,GdCl3,Gd,Cl
711,Gd2O3,Gd,O
712,CaSi2,Ca,Si
713,CaSi,Ca,Si
714,CaPo,Ca,Po
715,Ca3N2,Ca,N
716,Ca(N3)2,Ca,N
717,CaB6,Ca,B
718,CaTe,Ca,Te
719,CaI2,Ca,I
720,CaF2,Ca,F
721,CaO2,Ca,O
722,CaO,Ca,O
723,Ca3P2,Ca,P
724,CaS,Ca,S
725,CaBr2,Ca,Br
726,CaCl2,Ca,Cl
727,Ca3Sb2,Ca,Sb
728,Ca3Bi2,Ca,Bi
729,Ca2Ge,Ca,Ge
730,CaGe2,Ca,Ge
731,CaSn3,Ca,Sn
732,Ca2Pb,Ca,Pb
733,CaB6,Ca,B
734,CaAl2,Ca,Al
735,CaGa2,Ca,Ga
736,CaIn,Ca,In
737,Ca5Tl2,Ca,Tl
738,CaMg2,Ca,Mg
739,CaCu5,Ca,Cu
740,CaZn2,Ca,Zn
741,CaCd,Ca,Cd
742,CaCd2,Ca,Cd
743,CaHg,Ca,Hg
744,CaHg2,Ca,Hg
745,CaCo5,Ca,Co
746,CaNi5,Ca,Ni
747,CaH2,Ca,H
748,CaC2,Ca,C
749,CaSe,Ca,Se
750,CaO,Ca,O
751,Ca3As2,Ca,As
752,ZrB,Zr,B
753,ZrTc2,Zr,Tc
754,ZrTc6,Zr,Tc
755,ZrZn,Zr,Zn
756,ZrZn2,Zr,Zn
757,ZrZn6,Zr,Zn
758,ZrHg,Zr,Hg
759,Zr3Hg,Zr,Hg
760,ZrHg3,Zr,Hg
761,Zr3As,Zr,As
762,ZrAs,Zr,As
763,ZrAs2,Zr,As
764,Zr2Sb,Zr,Sb
765,Zr3Sb,Zr,Sb
766,Zr5Sb3,Zr,Sb
767,ZrBi2,Zr,Bi
768,Zr3Bi2,Zr,Bi
769,ZrGe,Zr,Ge
770,ZrGe2,Zr,Ge
771,Zr3Ge,Zr,Ge
772,ZrSn2,Zr,Sn
773,Zr4Sn,Zr,Sn
774,ZrB,Zr,B
775,ZrB2,Zr,B
776,ZrB12,Zr,B
777,ZrAl2,Zr,Al
778,ZrAl3,Zr,Al
779,ZrAl,Zr,Al
780,Zr3Al,Zr,Al
781,ZrGa3,Zr,Ga
782,Zr2Ga3,Zr,Ga
783,Zr5Ga,Zr,Ga
784,ZrIn,Zr,In
785,Zr4Tl,Zr,Tl
786,ZrBe2,Zr,Be
787,ZrBe5,Zr,Be
788,ZrBe13,Zr,Be
789,ZrB2,Zr,B
790,ZrC,Zr,C
791,Zr2C,Zr,C
792,ZrBe13,Zr,Be
793,ZrP2,Zr,P
794,Zr3P,Zr,P
795,ZrP,Zr,P
796,ZrSi2,Zr,Si
797,ZrS,Zr,S
798,ZrS2,Zr,S
799,ZrS3,Zr,S
800,ZrSe2,Zr,Se
801,ZrSe3,Zr,Se
802,Zr3Se2,Zr,Se
803,ZrTe2,Zr,Te
804,Zr2Te,Zr,Te
805,ZrN,Zr,N
806,ZrI4,Zr,I
807,ZrB2,Zr,B
808,ZrH,Zr,H
809,ZrH2,Zr,H
810,ZrF2,Zr,F
811,ZrF4,Zr,F
812,ZrCl2,Zr,Cl
813,ZrCl4,Zr,Cl
814,ZrC2/ZrC,Zr,C
815,ZrBr4,Zr,Br
816,ZrO2,Zr,O
817,CdTe,Cd,Te
818,Cd3As2,Cd,As
819,CdAs2,Cd,As
820,Cd3N2,Cd,N
821,CdI2,Cd,I
822,CdF2,Cd,F
823,CdP2,Cd,P
824,CdP4,Cd,P
825,Cd3P2,Cd,P
826,CdS,Cd,S
827,CdCl2,Cd,Cl
828,CdSe,Cd,Se
829,CdBr2,Cd,Br
830,CdO,Cd,O
831,CrBe2,Cr,Be
832,CrFe,Cr,Fe
833,Cr3Rh,Cr,Rh
834,CrTc3,Cr,Tc
835,Cr2Tc3,Cr,Tc
836,CrMn2,Cr,Mn
837,CrMn3,Cr,Mn
838,CrCo,Cr,Co
839,Cr2Zr,Cr,Zr
840,Cr2As,Cr,As
841,CrAs,Cr,As
842,CrAs2,Cr,As
843,Cr3As2,Cr,As
844,CrSb,Cr,Sb
845,CrSb2,Cr,Sb
846,CrBi2,Cr,Bi
847,CrB2,Cr,B
848,Cr2B,Cr,B
849,Cr3C2,Cr,C
850,Cr23C6,Cr,C
851,CrSi,Cr,Si
852,Cr2Si,Cr,Si
853,Cr3Si,Cr,Si
854,CrSi2,Cr,Si
855,Cr3Si2,Cr,Si
856,CrGe,Cr,Ge
857,CrGe3,Cr,Ge
858,Cr3Ge,Cr,Ge
859,CrH,Cr,H
860,CrH2,Cr,H
861,Cr3C2,Cr,C
862,CrN,Cr,N
863,Cr2N,Cr,N
864,CrP,Cr,P
865,CrP2,Cr,P
866,Cr2P,Cr,P
867,Cr3P,Cr,P
868,CrF2,Cr,F
869,CrF3,Cr,F
870,CrS,Cr,S
871,Cr2S3,Cr,S
872,CrCl2,Cr,Cl
873,CrCl3,Cr,Cl
874,CrBr2,Cr,Br
875,CrBr3,Cr,Br
876,CrI2,Cr,I
877,CrI3,Cr,I
878,Cr2O3,Cr,O
879,CrO,Cr,O
880,CrO2,Cr,O
881,CrO3,Cr,O
882,Cr2O5,Cr,O
883,Cr2s3,Cr,S
884,CrSe,Cr,Se
885,Cr2Se3,Cr,Se
886,Cr3Se4,Cr,Se
887,Cr2Te3,Cr,Te
888,Cr3Te4,Cr,Te
889,CrB,Cr,B
890,CrB2,Cr,B
891,Cr2B,Cr,B
892,Cr4B,Cr,B
893,CrAl,Cr,Al
894,CrAl7,Cr,Al
895,Cr2Al,Cr,Al
896,Cr3Ga,Cr,Ga
897,CrGa4,Cr,Ga
898,HgCr,Hg,Cr
899,Hg3Cr,Hg,Cr
900,HgH2,Hg,H
